# Rank    Emoji    Category    Subcategory    Name
# 224    🍰    Food & Drink    food-sweet    shortcake
# 225    🍁    Animals & Nature    plant-other    maple leaf
# 226    🤲    People & Body    hands    palms up together
# 227    ⬇️    Symbols    arrow    down arrow
# 228    👆    People & Body    hand-single-finger    backhand index pointing up
229    😯    Smileys & Emotion    face-concerned    hushed face
230    ✊    People & Body    hand-fingers-closed    raised fist
# 231    💌    Smileys & Emotion    emotion    love letter
# 232    ❄️    Travel & Places    sky & weather    snowflake
# 233    💸    Objects    money    money with wings
# 234    🧁    Food & Drink    food-sweet    cupcake
# 235    ⚽    Activities    sport    soccer ball
# 236    🇺🇸    Flags    country-flag    flag: United States
# 237    ❓    Symbols    punctuation    red question mark
# 238    🕺    People & Body    person-activity    man dancing
# 239    ⁉️    Symbols    punctuation    exclamation question mark
# 240    😺    Smileys & Emotion    cat-face    grinning cat
# 241    💧    Travel & Places    sky & weather    droplet
# 242    💣    Smileys & Emotion    emotion    bomb
243    🤐    Smileys & Emotion    face-neutral-skeptical    zipper-mouth face
# 244    🍎    Food & Drink    food-fruit    red apple
# 245    🐷    Animals & Nature    animal-mammal    pig face
# 246    🐥    Animals & Nature    animal-bird    front-facing baby chick
# 247    💁    People & Body    person-gesture    person tipping hand
# 248    📍    Objects    office    round pushpin
# 249    🎀    Activities    event    ribbon
# 250    🙅    People & Body    person-gesture    person gesturing NO
# 251    🥇    Activities    award-medal    1st place medal
# 252    🌝    Travel & Places    sky & weather    full moon face
# 253    🔫    Objects    tool    water pistol
# 254    ☎️    Objects    phone    telephone
# 255    🐱    Animals & Nature    animal-mammal    cat face
# 256    🐣    Animals & Nature    animal-bird    hatching chick
# 257    ✝️    Symbols    religion    latin cross
# 258    🎧    Objects    music    headphone
# 259    💟    Smileys & Emotion    emotion    heart decoration
# 260    👹    Smileys & Emotion    face-costume    ogre
# 261    💍    Objects    clothing    ring
# 262    🍼    Food & Drink    drink    baby bottle
# 263    🖐️    People & Body    hand-fingers-open    hand with fingers splayed
# 264    💡    Objects    light & video    light bulb
# 265    😽    Smileys & Emotion    cat-face    kissing cat
# 266    🍊    Food & Drink    food-fruit    tangerine
