# Rank    Emoji    Category    Subcategory    Name
# 1127    👨‍👩‍👧‍👦    People & Body    family    family: man, woman, girl, boy
# 1128    👩‍🌾    People & Body    person-role    woman farmer
# 1129    🔬    Objects    science    microscope
# 1130    🚸    Symbols    warning    children crossing
# 1131    ♟️    Activities    game    chess pawn
# 1132    🎦    Symbols    av-symbol    cinema
# 1133    👨‍🏫    People & Body    person-role    man teacher
# 1134    🇱🇧    Flags    country-flag    flag: Lebanon
# 1135    🗾    Travel & Places    place-map    map of Japan
# 1136    🔼    Symbols    av-symbol    upwards button
# 1137    🕘    Travel & Places    time    nine o’clock
# 1138    🇦🇲    Flags    country-flag    flag: Armenia
# 1139    🇩🇴    Flags    country-flag    flag: Dominican Republic
# 1140    👡    Objects    clothing    woman’s sandal
# 1141    📁    Objects    office    file folder
# 1142    🌥️    Travel & Places    sky & weather    sun behind large cloud
# 1143    🚍    Travel & Places    transport-ground    oncoming bus
# 1144    🇲🇾    Flags    country-flag    flag: Malaysia
# 1145    ⏭️    Symbols    av-symbol    next track button
# 1146    🥠    Food & Drink    food-asian    fortune cookie
# 1147    ↖️    Symbols    arrow    up-left arrow
# 1148    🚥    Travel & Places    transport-ground    horizontal traffic light
# 1149    🏬    Travel & Places    place-building    department store
# 1150    🇪🇦    Flags    country-flag    flag: Ceuta & Melilla
# 1151    🥍    Activities    sport    lacrosse
# 1152    🈵    Symbols    alphanum    Japanese “no vacancy” button
# 1153    ◻️    Symbols    geometric    white medium square
# 1154    🇨🇵    Flags    country-flag    flag: Clipperton Island
# 1155    🇺🇾    Flags    country-flag    flag: Uruguay
# 1156    🕝    Travel & Places    time    two-thirty
# 1157    🔢    Symbols    alphanum    input numbers
# 1158    🧫    Objects    science    petri dish
# 1159    🏴󠁧󠁢󠁷󠁬󠁳󠁿    Flags    subdivision-flag    flag: Wales
# 1160    🛥️    Travel & Places    transport-water    motor boat
# 1161    🆖    Symbols    alphanum    NG button
# 1162    🇨🇮    Flags    country-flag    flag: Côte d’Ivoire
# 1163    🧮    Objects    computer    abacus
# 1164    🖨️    Objects    computer    printer
# 1165    🛠️    Objects    tool    hammer and wrench
# 1166    🇦🇱    Flags    country-flag    flag: Albania
# 1167    👩‍🦲    People & Body    person    woman: bald
# 1168    🥼    Objects    clothing    lab coat
# 1169    ⚕️    Symbols    other-symbol    medical symbol
# 1170    ➿    Symbols    other-symbol    double curly loop
# 1171    🇧🇬    Flags    country-flag    flag: Bulgaria
# 1172    🤶    People & Body    person-fantasy    Mrs. Claus
# 1173    🕕    Travel & Places    time    six o’clock
# 1174    🏑    Activities    sport    field hockey
# 1175    👨‍👩‍👦    People & Body    family    family: man, woman, boy
# 1176    🔃    Symbols    arrow    clockwise vertical arrows
# 1177    📵    Symbols    warning    no mobile phones
# 1178    🈶    Symbols    alphanum    Japanese “not free of charge” button
# 1179    🥏    Activities    sport    flying disc
# 1180    ⛴️    Travel & Places    transport-water    ferry
# 1181    👨‍🌾    People & Body    person-role    man farmer
# 1182    🇦🇿    Flags    country-flag    flag: Azerbaijan
# 1183    📳    Symbols    av-symbol    vibration mode
# 1184    #️⃣    Symbols    keycap    keycap: #
# 1185    🆑    Symbols    alphanum    CL button
# 1186    ⛸️    Activities    sport    ice skate
# 1187    📫    Objects    mail    closed mailbox with raised flag
# 1188    🕖    Travel & Places    time    seven o’clock
# 1189    🇸🇻    Flags    country-flag    flag: El Salvador
# 1190    🇱🇾    Flags    country-flag    flag: Libya
# 1191    🇫🇮    Flags    country-flag    flag: Finland
# 1192    🚋    Travel & Places    transport-ground    tram car
# 1193    ☦️    Symbols    religion    orthodox cross
# 1194    🇵🇾    Flags    country-flag    flag: Paraguay
# 1195    🔩    Objects    tool    nut and bolt
# 1196    ⚛️    Symbols    religion    atom symbol
# 1197    🕗    Travel & Places    time    eight o’clock
# 1198    📂    Objects    office    open file folder
# 1199    🚇    Travel & Places    transport-ground    metro
# 1200    🥌    Activities    sport    curling stone
# 1201    👩‍🎨    People & Body    person-role    woman artist
# 1202    ↪️    Symbols    arrow    left arrow curving right
# 1203    🇻🇳    Flags    country-flag    flag: Vietnam
# 1204    🇩🇰    Flags    country-flag    flag: Denmark
# 1205    🧰    Objects    tool    toolbox
# 1206    🏚️    Travel & Places    place-building    derelict house
# 1207    ⌨️    Objects    computer    keyboard
# 1208    🕚    Travel & Places    time    eleven o’clock
# 1209    🚏    Travel & Places    transport-ground    bus stop
# 1210    🧯    Objects    household    fire extinguisher
# 1211    🇹🇼    Flags    country-flag    flag: Taiwan
# 1212    🔏    Objects    lock    locked with pen
# 1213    👨‍👩‍👧    People & Body    family    family: man, woman, girl
# 1214    🧷    Objects    household    safety pin
# 1215    👩‍🔬    People & Body    person-role    woman scientist
# 1216    🇭🇺    Flags    country-flag    flag: Hungary
# 1217    🇳🇮    Flags    country-flag    flag: Nicaragua
# 1218    🚷    Symbols    warning    no pedestrians
# 1219    🎛️    Objects    music    control knobs
# 1220    🚎    Travel & Places    transport-ground    trolleybus
# 1221    🚉    Travel & Places    transport-ground    station
# 1222    🇧🇴    Flags    country-flag    flag: Bolivia
# 1223    🇲🇨    Flags    country-flag    flag: Monaco
# 1224    🆎    Symbols    alphanum    AB button (blood type)
# 1225    👲    People & Body    person-role    person with skullcap
# 1226    🕔    Travel & Places    time    five o’clock
# 1227    👨‍🦳    People & Body    person    man: white hair
# 1228    ⚱️    Objects    other-object    funeral urn
# 1229    *️⃣    Symbols    keycap    keycap: *
# 1230    🇰🇼    Flags    country-flag    flag: Kuwait
# 1231    💾    Objects    computer    floppy disk
# 1232    🇶🇦    Flags    country-flag    flag: Qatar
# 1233    ➗    Symbols    math    divide
# 1234    🗺️    Travel & Places    place-map    world map
# 1235    🏺    Food & Drink    dishware    amphora
# 1236    🕎    Symbols    religion    menorah
# 1237    👩‍🦱    People & Body    person    woman: curly hair
# 1238    🇬🇹    Flags    country-flag    flag: Guatemala
# 1239    👩‍👧    People & Body    family    family: woman, girl
# 1240    🇳🇴    Flags    country-flag    flag: Norway
# 1241    💱    Symbols    currency    currency exchange
# 1242    🚳    Symbols    warning    no bicycles
# 1243    🇬🇪    Flags    country-flag    flag: Georgia
# 1244    🕹️    Activities    game    joystick
# 1245    🛳️    Travel & Places    transport-water    passenger ship
# 1246    👩‍🦳    People & Body    person    woman: white hair
# 1247    🚻    Symbols    transport-sign    restroom
# 1248    🇧🇭    Flags    country-flag    flag: Bahrain
# 1249    📟    Objects    phone    pager
# 1250    🉐    Symbols    alphanum    Japanese “bargain” button
# 1251    🇨🇲    Flags    country-flag    flag: Cameroon
# 1252    🈹    Symbols    alphanum    Japanese “discount” button
# 1253    🇨🇩    Flags    country-flag    flag: Congo - Kinshasa
# 1254    🇭🇹    Flags    country-flag    flag: Haiti
# 1255    🥿    Objects    clothing    flat shoe
# 1256    🇭🇳    Flags    country-flag    flag: Honduras
# 1257    🕥    Travel & Places    time    ten-thirty
# 1258    🇸🇬    Flags    country-flag    flag: Singapore
# 1259    👨‍🎤    People & Body    person-role    man singer
# 1260    🇵🇦    Flags    country-flag    flag: Panama
# 1261    🇨🇷    Flags    country-flag    flag: Costa Rica
# 1262    ⏫    Symbols    av-symbol    fast up button
# 1263    🇰🇪    Flags    country-flag    flag: Kenya
# 1264    ☸️    Symbols    religion    wheel of dharma
# 1265    🇯🇴    Flags    country-flag    flag: Jordan
# 1266    👩‍💼    People & Body    person-role    woman office worker
# 1267    👩‍🚀    People & Body    person-role    woman astronaut
# 1268    🔳    Symbols    geometric    white square button
# 1269    🕞    Travel & Places    time    three-thirty
# 1270    🇹🇳    Flags    country-flag    flag: Tunisia
# 1271    🇦🇫    Flags    country-flag    flag: Afghanistan
# 1272    🔂    Symbols    av-symbol    repeat single button
# 1273    👩‍🚒    People & Body    person-role    woman firefighter
# 1274    🚠    Travel & Places    transport-air    mountain cableway
# 1275    ⏺️    Symbols    av-symbol    record button
# 1276    🏣    Travel & Places    place-building    Japanese post office
# 1277    👝    Objects    clothing    clutch bag
# 1278    🇧🇩    Flags    country-flag    flag: Bangladesh
# 1279    🇳🇿    Flags    country-flag    flag: New Zealand
# 1280    👨‍🚀    People & Body    person-role    man astronaut
# 1281    👨‍✈️    People & Body    person-role    man pilot
# 1282    ↩️    Symbols    arrow    right arrow curving left
# 1283    🚊    Travel & Places    transport-ground    tram
# 1284    🏭    Travel & Places    place-building    factory
# 1285    🇳🇵    Flags    country-flag    flag: Nepal
# 1286    🛎️    Travel & Places    hotel    bellhop bell
# 1287    ⛎    Symbols    zodiac    Ophiuchus
# 1288    🇭🇰    Flags    country-flag    flag: Hong Kong SAR China
# 1289    🇹🇹    Flags    country-flag    flag: Trinidad & Tobago
# 1290    🏗️    Travel & Places    place-building    building construction
# 1291    🇮🇷    Flags    country-flag    flag: Iran
# 1292    🚈    Travel & Places    transport-ground    light rail
# 1293    🔀    Symbols    av-symbol    shuffle tracks button
# 1294    ⚗️    Objects    science    alembic
# 1295    🚾    Symbols    transport-sign    water closet
# 1296    🇨🇿    Flags    country-flag    flag: Czechia
# 1297    🗯️    Smileys & Emotion    emotion    right anger bubble
# 1298    🇸🇾    Flags    country-flag    flag: Syria
# 1299    👩‍🔧    People & Body    person-role    woman mechanic
# 1300    🇿🇼    Flags    country-flag    flag: Zimbabwe
# 1301    🚝    Travel & Places    transport-ground    monorail
# 1302    🇳🇪    Flags    country-flag    flag: Niger
# 1303    ⏲️    Travel & Places    time    timer clock
# 1304    🇭🇷    Flags    country-flag    flag: Croatia
# 1305    🇺🇬    Flags    country-flag    flag: Uganda
# 1306    🇸🇩    Flags    country-flag    flag: Sudan
# 1307    🇷🇸    Flags    country-flag    flag: Serbia
# 1308    🖱️    Objects    computer    computer mouse
# 1309    🇦🇴    Flags    country-flag    flag: Angola
# 1310    🕍    Travel & Places    place-religious    synagogue
# 1311    🈴    Symbols    alphanum    Japanese “passing grade” button
# 1312    🏛️    Travel & Places    place-building    classical building
# 1313    🚟    Travel & Places    transport-air    suspension railway
# 1314    ⏮️    Symbols    av-symbol    last track button
# 1315    🕰️    Travel & Places    time    mantelpiece clock
# 1316    🈯    Symbols    alphanum    Japanese “reserved” button
# 1317    🚯    Symbols    warning    no littering
# 1318    👨‍🚒    People & Body    person-role    man firefighter
# 1319    👨‍💼    People & Body    person-role    man office worker
# 1320    👨‍🦲    People & Body    person    man: bald
# 1321    🇸🇳    Flags    country-flag    flag: Senegal
# 1322    👨‍🦱    People & Body    person    man: curly hair
# 1323    👨‍🎨    People & Body    person-role    man artist
# 1324    🔤    Symbols    alphanum    input latin letters
# 1325    🛂    Symbols    transport-sign    passport control
# 1326    ⏸️    Symbols    av-symbol    pause button
# 1327    🇪🇪    Flags    country-flag    flag: Estonia
# 1328    🇧🇦    Flags    country-flag    flag: Bosnia & Herzegovina
# 1329    📪    Objects    mail    closed mailbox with lowered flag
# 1330    👩‍⚖️    People & Body    person-role    woman judge
# 1331    🇬🇳    Flags    country-flag    flag: Guinea
# 1332    👨‍🔬    People & Body    person-role    man scientist
# 1333    👨‍👩‍👧‍👧    People & Body    family    family: man, woman, girl, girl
# 1334    🚡    Travel & Places    transport-air    aerial tramway
# 1335    🏤    Travel & Places    place-building    post office
# 1336    🇿🇲    Flags    country-flag    flag: Zambia
# 1337    🇧🇯    Flags    country-flag    flag: Benin
# 1338    🇻🇮    Flags    country-flag    flag: U.S. Virgin Islands
# 1339    🛤️    Travel & Places    transport-ground    railway track
# 1340    🚞    Travel & Places    transport-ground    mountain railway
# 1341    👨‍🦰    People & Body    person    man: red hair
# 1342    🇦🇩    Flags    country-flag    flag: Andorra
# 1343    🇷🇴    Flags    country-flag    flag: Romania
# 1344    🗒️    Objects    office    spiral notepad
# 1345    🈺    Symbols    alphanum    Japanese “open for business” button
# 1346    👨‍👦    People & Body    family    family: man, boy
# 1347    🇺🇳    Flags    country-flag    flag: United Nations
# 1348    👨‍👩‍👦‍👦    People & Body    family    family: man, woman, boy, boy
# 1349    🇧🇧    Flags    country-flag    flag: Barbados
# 1350    👩‍✈️    People & Body    person-role    woman pilot
# 1351    🇧🇳    Flags    country-flag    flag: Brunei
# 1352    📭    Objects    mail    open mailbox with lowered flag
# 1353    👩‍👦    People & Body    family    family: woman, boy
# 1354    🇸🇴    Flags    country-flag    flag: Somalia
# 1355    🇧🇼    Flags    country-flag    flag: Botswana
# 1356    🗄️    Objects    office    file cabinet
# 1357    👁️‍🗨️    Smileys & Emotion    emotion    eye in speech bubble
# 1358    🇪🇹    Flags    country-flag    flag: Ethiopia
# 1359    🇹🇿    Flags    country-flag    flag: Tanzania
# 1360    🇱🇻    Flags    country-flag    flag: Latvia
# 1361    👨‍🔧    People & Body    person-role    man mechanic
# 1362    🇮🇸    Flags    country-flag    flag: Iceland
# 1363    🕡    Travel & Places    time    six-thirty
# 1364    👨‍⚖️    People & Body    person-role    man judge
# 1365    🇱🇺    Flags    country-flag    flag: Luxembourg
# 1366    🛄    Symbols    transport-sign    baggage claim
# 1367    ↕️    Symbols    arrow    up-down arrow
# 1368    🇦🇨    Flags    country-flag    flag: Ascension Island
# 1369    🇼🇸    Flags    country-flag    flag: Samoa
# 1370    🕦    Travel & Places    time    eleven-thirty
# 1371    🚱    Symbols    warning    non-potable water
# 1372    🕣    Travel & Places    time    eight-thirty
# 1373    🇲🇰    Flags    country-flag    flag: North Macedonia
# 1374    👩‍🏭    People & Body    person-role    woman factory worker
# 1375    🇰🇿    Flags    country-flag    flag: Kazakhstan
# 1376    🈚    Symbols    alphanum    Japanese “free of charge” button
# 1377    🈲    Symbols    alphanum    Japanese “prohibited” button
# 1378    🔠    Symbols    alphanum    input latin uppercase
# 1379    🛷    Activities    sport    sled
# 1380    🇧🇾    Flags    country-flag    flag: Belarus
# 1381    🇱🇦    Flags    country-flag    flag: Laos
# 1382    🇴🇲    Flags    country-flag    flag: Oman
# 1383    🇦🇶    Flags    country-flag    flag: Antarctica
# 1384    📇    Objects    office    card index
# 1385    🖲️    Objects    computer    trackball
# 1386    🇹🇬    Flags    country-flag    flag: Togo
# 1387    🇬🇾    Flags    country-flag    flag: Guyana
# 1388    🕤    Travel & Places    time    nine-thirty
# 1389    🇲🇱    Flags    country-flag    flag: Mali
# 1390    🇻🇨    Flags    country-flag    flag: St. Vincent & Grenadines
# 1391    🇦🇽    Flags    country-flag    flag: Åland Islands
# 1392    🕧    Travel & Places    time    twelve-thirty
# 1393    🇺🇿    Flags    country-flag    flag: Uzbekistan
# 1394    🗃️    Objects    office    card file box
# 1395    🈸    Symbols    alphanum    Japanese “application” button
# 1396    🇬🇱    Flags    country-flag    flag: Greenland
# 1397    🇦🇮    Flags    country-flag    flag: Anguilla
# 1398    👩‍👧‍👦    People & Body    family    family: woman, girl, boy
# 1399    🈳    Symbols    alphanum    Japanese “vacancy” button
# 1400    🗜️    Objects    tool    clamp
# 1401    🕢    Travel & Places    time    seven-thirty
# 1402    🕠    Travel & Places    time    five-thirty
# 1403    🇦🇸    Flags    country-flag    flag: American Samoa
# 1404    🇦🇬    Flags    country-flag    flag: Antigua & Barbuda
# 1405    🇧🇫    Flags    country-flag    flag: Burkina Faso
# 1406    🇻🇦    Flags    country-flag    flag: Vatican City
# 1407    🇱🇰    Flags    country-flag    flag: Sri Lanka
# 1408    🕟    Travel & Places    time    four-thirty
# 1409    🇧🇻    Flags    country-flag    flag: Bouvet Island
# 1410    🇦🇼    Flags    country-flag    flag: Aruba
# 1411    🇲🇫    Flags    country-flag    flag: St. Martin
# 1412    🇧🇸    Flags    country-flag    flag: Bahamas
# 1413    🇱🇹    Flags    country-flag    flag: Lithuania
# 1414    🇧🇮    Flags    country-flag    flag: Burundi
# 1415    🇭🇲    Flags    country-flag    flag: Heard & McDonald Islands
# 1416    🇰🇵    Flags    country-flag    flag: North Korea
# 1417    🇪🇷    Flags    country-flag    flag: Eritrea
# 1418    🇹🇴    Flags    country-flag    flag: Tonga
# 1419    🇸🇰    Flags    country-flag    flag: Slovakia
# 1420    🇻🇺    Flags    country-flag    flag: Vanuatu
# 1421    🇰🇭    Flags    country-flag    flag: Cambodia
# 1422    🇹🇲    Flags    country-flag    flag: Turkmenistan
# 1423    ⏹️    Symbols    av-symbol    stop button
# 1424    🇸🇱    Flags    country-flag    flag: Sierra Leone
# 1425    🇹🇩    Flags    country-flag    flag: Chad
# 1426    👨‍👧    People & Body    family    family: man, girl
# 1427    🇻🇬    Flags    country-flag    flag: British Virgin Islands
# 1428    🇹🇻    Flags    country-flag    flag: Tuvalu
# 1429    🇮🇨    Flags    country-flag    flag: Canary Islands
# 1430    🇹🇯    Flags    country-flag    flag: Tajikistan
# 1431    👩‍👧‍👧    People & Body    family    family: woman, girl, girl
# 1432    👨‍👨‍👧    People & Body    family    family: man, man, girl
# 1433    🇰🇬    Flags    country-flag    flag: Kyrgyzstan
# 1434    🇨🇬    Flags    country-flag    flag: Congo - Brazzaville
# 1435    🇬🇦    Flags    country-flag    flag: Gabon
# 1436    🇲🇴    Flags    country-flag    flag: Macao SAR China
# 1437    🇲🇺    Flags    country-flag    flag: Mauritius
# 1438    🇽🇰    Flags    country-flag    flag: Kosovo
# 1439    🇸🇮    Flags    country-flag    flag: Slovenia
# 1440    🇲🇲    Flags    country-flag    flag: Myanmar (Burma)
# 1441    🇨🇾    Flags    country-flag    flag: Cyprus
# 1442    🛃    Symbols    transport-sign    customs
# 1443    🇧🇹    Flags    country-flag    flag: Bhutan
# 1444    🇧🇲    Flags    country-flag    flag: Bermuda
# 1445    👨‍👦‍👦    People & Body    family    family: man, boy, boy
# 1446    🇪🇭    Flags    country-flag    flag: Western Sahara
# 1447    🈷️    Symbols    alphanum    Japanese “monthly amount” button
# 1448    🇲🇪    Flags    country-flag    flag: Montenegro
# 1449    🇸🇸    Flags    country-flag    flag: South Sudan
# 1450    🇷🇼    Flags    country-flag    flag: Rwanda
# 1451    🇲🇷    Flags    country-flag    flag: Mauritania
# 1452    🇲🇹    Flags    country-flag    flag: Malta
# 1453    🇨🇨    Flags    country-flag    flag: Cocos (Keeling) Islands
# 1454    🇸🇷    Flags    country-flag    flag: Suriname
# 1455    👨‍👨‍👦‍👦    People & Body    family    family: man, man, boy, boy
# 1456    🛅    Symbols    transport-sign    left luggage
# 1457    🇲🇳    Flags    country-flag    flag: Mongolia
# 1458    👨‍👨‍👦    People & Body    family    family: man, man, boy
# 1459    🇲🇬    Flags    country-flag    flag: Madagascar
# 1460    🔡    Symbols    alphanum    input latin lowercase
# 1461    🇱🇸    Flags    country-flag    flag: Lesotho
# 1462    👩‍👦‍👦    People & Body    family    family: woman, boy, boy
# 1463    🇾🇹    Flags    country-flag    flag: Mayotte
# 1464    🇸🇯    Flags    country-flag    flag: Svalbard & Jan Mayen
# 1465    🇹🇱    Flags    country-flag    flag: Timor-Leste
# 1466    🇲🇩    Flags    country-flag    flag: Moldova
# 1467    🇨🇻    Flags    country-flag    flag: Cape Verde
# 1468    🇲🇿    Flags    country-flag    flag: Mozambique
# 1469    🗂️    Objects    office    card index dividers
# 1470    🇮🇴    Flags    country-flag    flag: British Indian Ocean Territory
# 1471    🇹🇨    Flags    country-flag    flag: Turks & Caicos Islands
# 1472    🇳🇦    Flags    country-flag    flag: Namibia
# 1473    🇬🇼    Flags    country-flag    flag: Guinea-Bissau
# 1474    🇲🇻    Flags    country-flag    flag: Maldives
# 1475    👨‍🏭    People & Body    person-role    man factory worker
# 1476    🇬🇺    Flags    country-flag    flag: Guam
# 1477    🇹🇦    Flags    country-flag    flag: Tristan da Cunha
# 1478    👩‍👩‍👧‍👧    People & Body    family    family: woman, woman, girl, girl
# 1479    🇧🇱    Flags    country-flag    flag: St. Barthélemy
# 1480    🇳🇫    Flags    country-flag    flag: Norfolk Island
# 1481    🈂️    Symbols    alphanum    Japanese “service charge” button
# 1482    🔣    Symbols    alphanum    input symbols
# 1483    🇷🇪    Flags    country-flag    flag: Réunion
# 1484    🇰🇲    Flags    country-flag    flag: Comoros
# 1485    👩‍👩‍👦    People & Body    family    family: woman, woman, boy
# 1486    🇱🇨    Flags    country-flag    flag: St. Lucia
# 1487    🇬🇲    Flags    country-flag    flag: Gambia
# 1488    🇼🇫    Flags    country-flag    flag: Wallis & Futuna
# 1489    🇧🇶    Flags    country-flag    flag: Caribbean Netherlands
# 1490    🇮🇲    Flags    country-flag    flag: Isle of Man
# 1491    🇨🇰    Flags    country-flag    flag: Cook Islands
# 1492    🇧🇿    Flags    country-flag    flag: Belize
# 1493    👨‍👧‍👦    People & Body    family    family: man, girl, boy
# 1494    🇸🇿    Flags    country-flag    flag: Eswatini
# 1495    🇸🇹    Flags    country-flag    flag: São Tomé & Príncipe
# 1496    🇩🇯    Flags    country-flag    flag: Djibouti
# 1497    👩‍👩‍👧‍👦    People & Body    family    family: woman, woman, girl, boy
# 1498    👨‍👨‍👧‍👦    People & Body    family    family: man, man, girl, boy
# 1499    🇩🇲    Flags    country-flag    flag: Dominica
# 1500    👩‍👩‍👧    People & Body    family    family: woman, woman, girl
# 1501    🇬🇩    Flags    country-flag    flag: Grenada
# 1502    🇫🇲    Flags    country-flag    flag: Micronesia
# 1503    🇨🇫    Flags    country-flag    flag: Central African Republic
# 1504    🇸🇲    Flags    country-flag    flag: San Marino
# 1505    🇫🇯    Flags    country-flag    flag: Fiji
# 1506    🇹🇰    Flags    country-flag    flag: Tokelau
# 1507    🇬🇬    Flags    country-flag    flag: Guernsey
# 1508    🇰🇳    Flags    country-flag    flag: St. Kitts & Nevis
# 1509    🇸🇨    Flags    country-flag    flag: Seychelles
# 1510    🦰    Component    hair-style    red hair
# 1511    🇸🇧    Flags    country-flag    flag: Solomon Islands
# 1512    ⏏️    Symbols    av-symbol    eject button
# 1513    🇫🇰    Flags    country-flag    flag: Falkland Islands
# 1514    🈁    Symbols    alphanum    Japanese “here” button
# 1515    🇰🇮    Flags    country-flag    flag: Kiribati
# 1516    🇵🇬    Flags    country-flag    flag: Papua New Guinea
# 1517    🇸🇽    Flags    country-flag    flag: Sint Maarten
# 1518    🇹🇫    Flags    country-flag    flag: French Southern Territories
# 1519    🇫🇴    Flags    country-flag    flag: Faroe Islands
# 1520    👨‍👨‍👧‍👧    People & Body    family    family: man, man, girl, girl
# 1521    🇬🇶    Flags    country-flag    flag: Equatorial Guinea
# 1522    🇯🇪    Flags    country-flag    flag: Jersey
# 1523    🇬🇮    Flags    country-flag    flag: Gibraltar
# 1524    🇬🇸    Flags    country-flag    flag: South Georgia & South Sandwich Islands
# 1525    👩‍👩‍👦‍👦    People & Body    family    family: woman, woman, boy, boy
# 1526    🇨🇼    Flags    country-flag    flag: Curaçao
# 1527    🇲🇼    Flags    country-flag    flag: Malawi
# 1528    🇵🇼    Flags    country-flag    flag: Palau
# 1529    🇲🇸    Flags    country-flag    flag: Montserrat
# 1530    🇱🇮    Flags    country-flag    flag: Liechtenstein
# 1531    🇲🇭    Flags    country-flag    flag: Marshall Islands
# 1532    🇬🇫    Flags    country-flag    flag: French Guiana
# 1533    🇸🇭    Flags    country-flag    flag: St. Helena
# 1534    🇨🇽    Flags    country-flag    flag: Christmas Island
# 1535    🇵🇳    Flags    country-flag    flag: Pitcairn Islands
# 1536    🇩🇬    Flags    country-flag    flag: Diego Garcia
# 1537    🇳🇺    Flags    country-flag    flag: Niue
# 1538    🇳🇨    Flags    country-flag    flag: New Caledonia
# 1539    🇵🇫    Flags    country-flag    flag: French Polynesia
# 1540    🇰🇾    Flags    country-flag    flag: Cayman Islands
# 1541    🦱    Component    hair-style    curly hair
# 1542    👨‍👧‍👧    People & Body    family    family: man, girl, girl
# 1543    🇵🇲    Flags    country-flag    flag: St. Pierre & Miquelon
# 1544    🇲🇵    Flags    country-flag    flag: Northern Mariana Islands
# 1545    🇳🇷    Flags    country-flag    flag: Nauru
# 1546    🇲🇶    Flags    country-flag    flag: Martinique
# 1547    🇬🇵    Flags    country-flag    flag: Guadeloupe
# 1548    🦲    Component    hair-style    bald
# 1549    🦳    Component    hair-style    white hair
